id,name,genres
3NbqBIc16CNAe5nYSmHR3p,JAE5,['afrobeats']
2sEUjEtnqBphiYquoNfV62,Gabzy,"['afrobeats', 'nigerian pop']"
2meqc0ogaVLYfKIkUImoGW,Br3nya,"['afroswing', 'trap queen', 'uk dancehall']"
4iYJ88IcQS4GFqLqWGE5yx,Tim Lyre,"['alte', 'nigerian pop']"
2sEUjEtnqBphiYquoNfV62,Gabzy,"['afrobeats', 'nigerian pop']"
5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,[]
5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,[]
5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,[]
5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,[]
5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,[]
5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,[]
5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,[]
5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,[]
4G4MrV1YIxHLGXRlhrIPmC,"Dwin, The Stoic",[]
3tVQdUvClmAT7URs9V3rsp,Wizkid,"['afrobeats', 'afropop', 'azonto', 'azontobeats', 'nigerian hip hop', 'nigerian pop']"
1XavfPKBpNjkOfxHINlMHF,Joeboy,"['afrobeats', 'afropop', 'nigerian pop']"
2XNwtpu314ZSFziTt0ZqZT,Minz,"['afrobeats', 'nigerian pop']"
3wcj11K77LjEY1PkEazffa,Burna Boy,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
5yOvAmpIR7hVxiS6Ls5DPO,Omah Lay,"['afrobeats', 'nigerian pop']"
0XqLMMiljB30SqHKV9PYsD,Show Dem Camp,"['afrobeats', 'alte', 'nigerian hip hop', 'nigerian pop']"
5Jv1MsZBh0sqokFq7pU8Xg,Pheelz,"['afrobeats', 'nigerian pop']"
3tVQdUvClmAT7URs9V3rsp,Wizkid,"['afrobeats', 'afropop', 'azonto', 'azontobeats', 'nigerian hip hop', 'nigerian pop']"
1XavfPKBpNjkOfxHINlMHF,Joeboy,"['afrobeats', 'afropop', 'nigerian pop']"
3wcj11K77LjEY1PkEazffa,Burna Boy,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
2IK173RXLiCSQ8fhDlAb3s,Adekunle Gold,"['afrobeats', 'afropop', 'alte', 'azontobeats', 'nigerian hip hop', 'nigerian pop']"
0rskhjcLm5BxjwZDRs4142,Magixx,"['afrobeats', 'nigerian pop']"
3ONGmday8YN8AkbsRk01iL,Lojay,"['afrobeats', 'alte', 'nigerian pop']"
1XavfPKBpNjkOfxHINlMHF,Joeboy,"['afrobeats', 'afropop', 'nigerian pop']"
4Xj0nxVO4r7PLEaw7LRiBa,melvitto,"['afrobeats', 'nigerian pop']"
4hTL3jOgvZwOqegEZTOrCc,Col3trane,"['alternative r&b', 'uk contemporary r&b']"
46pWGuE3dSwY3bMMXGBvVS,Rema,"['afrobeats', 'nigerian pop']"
3NbqBIc16CNAe5nYSmHR3p,JAE5,['afrobeats']
3zaDigUwjHvjOkSn0NDf9x,Bnxn,"['afrobeats', 'nigerian pop']"
1XavfPKBpNjkOfxHINlMHF,Joeboy,"['afrobeats', 'afropop', 'nigerian pop']"
3a1tBryiczPAZpgoZN9Rzg,Asake,"['afrobeats', 'nigerian pop']"
1XavfPKBpNjkOfxHINlMHF,Joeboy,"['afrobeats', 'afropop', 'nigerian pop']"
3a1tBryiczPAZpgoZN9Rzg,Asake,"['afrobeats', 'nigerian pop']"
3tVQdUvClmAT7URs9V3rsp,Wizkid,"['afrobeats', 'afropop', 'azonto', 'azontobeats', 'nigerian hip hop', 'nigerian pop']"
3tVQdUvClmAT7URs9V3rsp,Wizkid,"['afrobeats', 'afropop', 'azonto', 'azontobeats', 'nigerian hip hop', 'nigerian pop']"
3a1tBryiczPAZpgoZN9Rzg,Asake,"['afrobeats', 'nigerian pop']"
2a0uxJgbvvIRI4GX8pYfcr,J Hus,"['afroswing', 'grime', 'uk hip hop']"
4pfy05cNNTacuOQ6SiSu4v,Lyn Lapid,['gen z singer-songwriter']
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,['gen z singer-songwriter']
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,"['pop', 'viral pop']"
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,"['pop', 'viral pop']"
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"['canadian pop', 'pop']"
6KImCVD70vtIoJWnq6nGn3,Harry Styles,['pop']
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"['piano rock', 'pop']"
2pQzh5cuuqpDErGZNaOULd,gavn!,"['sad rap', 'singer-songwriter pop']"
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,"['pop', 'viral pop']"
